rank,id,event_cause,on_corridor,duration_min,cohort_median,fence,excess_ratio,kind
1,FKID003730,pot_holes,False,226.26,16.41,127.18,13.79,genuine
2,FKID005402,accident,False,216.13,42.89,127.77,5.04,genuine
3,FKID004902,procession,False,166.81,34.45,100.5,4.84,genuine
4,FKID001962,vehicle_breakdown,True,175.79,38.3,149.43,4.59,genuine
5,FKID007096,vehicle_breakdown,True,173.43,38.3,149.43,4.53,genuine
6,FKID006896,vehicle_breakdown,True,169.55,38.3,149.43,4.43,genuine
7,FKID003604,vehicle_breakdown,True,165.32,38.3,149.43,4.32,genuine
8,FKID006400,vehicle_breakdown,True,162.57,38.3,149.43,4.24,genuine
9,FKID006060,vehicle_breakdown,True,162.03,38.3,149.43,4.23,genuine
10,FKID006104,vehicle_breakdown,True,159.77,38.3,149.43,4.17,genuine
11,FKID001329,vehicle_breakdown,True,153.41,38.3,149.43,4.01,genuine
12,FKID008045,vehicle_breakdown,True,153.29,38.3,149.43,4.0,genuine
13,FKID002845,vehicle_breakdown,True,151.79,38.3,149.43,3.96,genuine
14,FKID006225,vehicle_breakdown,True,150.9,38.3,149.43,3.94,genuine
15,FKID004730,vehicle_breakdown,False,168.73,44.34,156.88,3.81,genuine
16,FKID002937,vehicle_breakdown,False,162.1,44.34,156.88,3.66,genuine
17,FKID001571,vehicle_breakdown,False,161.71,44.34,156.88,3.65,genuine
18,FKID005202,vehicle_breakdown,False,159.29,44.34,156.88,3.59,genuine
19,FKID002651,vehicle_breakdown,False,158.46,44.34,156.88,3.57,genuine
20,FKID005561,accident,True,116.72,39.33,111.65,2.97,genuine
21,FKID005562,accident,True,115.26,39.33,111.65,2.93,genuine
22,FKID005563,accident,True,114.7,39.33,111.65,2.92,genuine
23,FKID007876,pot_holes,False,1241.16,16.41,127.18,75.63,ticket_artifact
24,FKID003964,others,False,1403.76,49.21,332.13,28.52,ticket_artifact
25,FKID006330,others,False,1343.12,49.21,332.13,27.29,ticket_artifact
26,FKID002758,others,False,1291.49,49.21,332.13,26.24,ticket_artifact
27,FKID005226,others,False,1143.35,49.21,332.13,23.23,ticket_artifact
28,FKID000138,pot_holes,False,365.23,16.41,127.18,22.25,ticket_artifact
29,FKID003628,others,False,995.14,49.21,332.13,20.22,ticket_artifact
30,FKID007136,others,True,1369.87,82.55,398.13,16.59,ticket_artifact
31,FKID005234,others,True,1355.95,82.55,398.13,16.43,ticket_artifact
32,FKID000749,others,True,1327.46,82.55,398.13,16.08,ticket_artifact
33,FKID005632,others,True,1323.29,82.55,398.13,16.03,ticket_artifact
34,FKID000664,others,True,1303.78,82.55,398.13,15.79,ticket_artifact
35,FKID002924,tree_fall,False,1414.73,90.51,951.0,15.63,ticket_artifact
36,FKID003703,tree_fall,False,1411.95,90.51,951.0,15.6,ticket_artifact
37,FKID003367,others,True,1273.24,82.55,398.13,15.42,ticket_artifact
38,FKID003815,tree_fall,False,1393.53,90.51,951.0,15.4,ticket_artifact
39,FKID004069,tree_fall,True,1266.68,84.58,548.67,14.98,ticket_artifact
40,FKID003838,tree_fall,False,1320.44,90.51,951.0,14.59,ticket_artifact
41,FKID003949,water_logging,True,1416.38,102.54,620.59,13.81,ticket_artifact
42,FKID003948,tree_fall,True,1153.79,84.58,548.67,13.64,ticket_artifact
43,FKID002503,water_logging,True,1397.65,102.54,620.59,13.63,ticket_artifact
44,FKID000174,tree_fall,False,1228.07,90.51,951.0,13.57,ticket_artifact
45,FKID008060,water_logging,True,1373.88,102.54,620.59,13.4,ticket_artifact
46,FKID003825,water_logging,True,1373.56,102.54,620.59,13.4,ticket_artifact
47,FKID003038,water_logging,True,1345.39,102.54,620.59,13.12,ticket_artifact
48,FKID001106,water_logging,True,1341.86,102.54,620.59,13.09,ticket_artifact
49,FKID002864,tree_fall,False,1173.62,90.51,951.0,12.97,ticket_artifact
50,FKID005660,others,False,614.39,49.21,332.13,12.48,ticket_artifact
51,FKID004358,others,True,1019.06,82.55,398.13,12.34,ticket_artifact
52,FKID002760,tree_fall,False,1114.93,90.51,951.0,12.32,ticket_artifact
53,FKID007513,others,True,1009.01,82.55,398.13,12.22,ticket_artifact
54,FKID007895,others,False,598.4,49.21,332.13,12.16,ticket_artifact
55,FKID002740,water_logging,True,1218.69,102.54,620.59,11.89,ticket_artifact
56,FKID002811,water_logging,True,1190.46,102.54,620.59,11.61,ticket_artifact
57,FKID006803,others,False,569.86,49.21,332.13,11.58,ticket_artifact
58,FKID000513,others,False,567.04,49.21,332.13,11.52,ticket_artifact
59,FKID002698,tree_fall,True,971.19,84.58,548.67,11.48,ticket_artifact
60,FKID002810,tree_fall,True,933.88,84.58,548.67,11.04,ticket_artifact
61,FKID003936,water_logging,False,1437.05,130.15,645.14,11.04,ticket_artifact
62,FKID001623,others,False,533.57,49.21,332.13,10.84,ticket_artifact
63,FKID005211,others,False,531.43,49.21,332.13,10.8,ticket_artifact
64,FKID003878,tree_fall,False,952.35,90.51,951.0,10.52,ticket_artifact
65,FKID006193,others,True,865.54,82.55,398.13,10.48,ticket_artifact
66,FKID006867,construction,True,1378.14,134.01,994.48,10.28,ticket_artifact
67,FKID006643,construction,True,1329.47,134.01,994.48,9.92,ticket_artifact
68,FKID002731,tree_fall,True,829.3,84.58,548.67,9.81,ticket_artifact
69,FKID003026,water_logging,True,997.15,102.54,620.59,9.72,ticket_artifact
70,FKID007569,others,True,799.63,82.55,398.13,9.69,ticket_artifact
71,FKID003025,water_logging,True,984.97,102.54,620.59,9.61,ticket_artifact
72,FKID005235,others,True,695.03,82.55,398.13,8.42,ticket_artifact
73,FKID003269,water_logging,True,841.56,102.54,620.59,8.21,ticket_artifact
74,FKID000477,water_logging,False,1043.4,130.15,645.14,8.02,ticket_artifact
75,FKID000480,water_logging,False,1039.96,130.15,645.14,7.99,ticket_artifact
76,FKID004682,others,False,392.16,49.21,332.13,7.97,ticket_artifact
77,FKID006602,road_conditions,True,1389.0,175.5,671.56,7.91,ticket_artifact
78,FKID003621,water_logging,False,1006.17,130.15,645.14,7.73,ticket_artifact
79,FKID003998,others,True,623.15,82.55,398.13,7.55,ticket_artifact
80,FKID000457,tree_fall,True,628.01,84.58,548.67,7.43,ticket_artifact
81,FKID000732,others,True,611.39,82.55,398.13,7.41,ticket_artifact
82,FKID002898,water_logging,True,759.0,102.54,620.59,7.4,ticket_artifact
83,FKID003569,tree_fall,True,625.24,84.58,548.67,7.39,ticket_artifact
84,FKID006160,others,True,606.3,82.55,398.13,7.34,ticket_artifact
85,FKID003914,water_logging,False,948.74,130.15,645.14,7.29,ticket_artifact
86,FKID003281,water_logging,False,846.77,130.15,645.14,6.51,ticket_artifact
87,FKID003249,water_logging,False,831.4,130.15,645.14,6.39,ticket_artifact
88,FKID000283,water_logging,False,820.88,130.15,645.14,6.31,ticket_artifact
89,FKID007464,others,True,514.82,82.55,398.13,6.24,ticket_artifact
90,FKID007557,others,True,510.95,82.55,398.13,6.19,ticket_artifact
91,FKID004458,road_conditions,True,1080.06,175.5,671.56,6.15,ticket_artifact
92,FKID004615,others,True,452.12,82.55,398.13,5.48,ticket_artifact
93,FKID006419,others,True,425.98,82.55,398.13,5.16,ticket_artifact
94,FKID001111,others,True,425.94,82.55,398.13,5.16,ticket_artifact
95,FKID004551,road_conditions,True,875.35,175.5,671.56,4.99,ticket_artifact
96,FKID007887,others,True,406.33,82.55,398.13,4.92,ticket_artifact
97,FKID006578,road_conditions,True,773.96,175.5,671.56,4.41,ticket_artifact
